"Statistic","Month","Age Group","Sex","Social Welfare Scheme","UNIT","VALUE"
"Persons on Live Register","1967M01","Under 25 years","Both sexes","All classes","Number","0"
"Persons on Live Register","1967M01","Under 25 years","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M01","Under 25 years","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M01","Under 25 years","Both sexes","Other registrants","Number",""
"Persons on Live Register","1967M01","Under 25 years","Male","All classes","Number","0"
"Persons on Live Register","1967M01","Under 25 years","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M01","Under 25 years","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M01","Under 25 years","Male","Other registrants","Number",""
"Persons on Live Register","1967M01","Under 25 years","Female","All classes","Number","0"
"Persons on Live Register","1967M01","Under 25 years","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M01","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M01","Under 25 years","Female","Other registrants","Number",""
"Persons on Live Register","1967M01","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1967M01","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M01","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M01","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1967M01","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1967M01","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M01","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M01","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1967M01","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1967M01","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M01","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M01","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1967M01","All ages","Both sexes","All classes","Number","58670"
"Persons on Live Register","1967M01","All ages","Both sexes","Jobseekers allowance applications","Number","18117"
"Persons on Live Register","1967M01","All ages","Both sexes","Jobseekers benefit claims","Number","37210"
"Persons on Live Register","1967M01","All ages","Both sexes","Other registrants","Number","3343"
"Persons on Live Register","1967M01","All ages","Male","All classes","Number","48647"
"Persons on Live Register","1967M01","All ages","Male","Jobseekers allowance applications","Number","17656"
"Persons on Live Register","1967M01","All ages","Male","Jobseekers benefit claims","Number","29972"
"Persons on Live Register","1967M01","All ages","Male","Other registrants","Number","1019"
"Persons on Live Register","1967M01","All ages","Female","All classes","Number","10023"
"Persons on Live Register","1967M01","All ages","Female","Jobseekers allowance applications","Number","461"
"Persons on Live Register","1967M01","All ages","Female","Jobseekers benefit claims","Number","7238"
"Persons on Live Register","1967M01","All ages","Female","Other registrants","Number","2324"
"Persons on Live Register","1967M02","Under 25 years","Both sexes","All classes","Number","0"
"Persons on Live Register","1967M02","Under 25 years","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M02","Under 25 years","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M02","Under 25 years","Both sexes","Other registrants","Number",""
"Persons on Live Register","1967M02","Under 25 years","Male","All classes","Number","0"
"Persons on Live Register","1967M02","Under 25 years","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M02","Under 25 years","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M02","Under 25 years","Male","Other registrants","Number",""
"Persons on Live Register","1967M02","Under 25 years","Female","All classes","Number","0"
"Persons on Live Register","1967M02","Under 25 years","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M02","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M02","Under 25 years","Female","Other registrants","Number",""
"Persons on Live Register","1967M02","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1967M02","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M02","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M02","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1967M02","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1967M02","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M02","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M02","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1967M02","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1967M02","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M02","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M02","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1967M02","All ages","Both sexes","All classes","Number","57939"
"Persons on Live Register","1967M02","All ages","Both sexes","Jobseekers allowance applications","Number","18748"
"Persons on Live Register","1967M02","All ages","Both sexes","Jobseekers benefit claims","Number","35902"
"Persons on Live Register","1967M02","All ages","Both sexes","Other registrants","Number","3289"
"Persons on Live Register","1967M02","All ages","Male","All classes","Number","47906"
"Persons on Live Register","1967M02","All ages","Male","Jobseekers allowance applications","Number","18244"
"Persons on Live Register","1967M02","All ages","Male","Jobseekers benefit claims","Number","28655"
"Persons on Live Register","1967M02","All ages","Male","Other registrants","Number","1007"
"Persons on Live Register","1967M02","All ages","Female","All classes","Number","10033"
"Persons on Live Register","1967M02","All ages","Female","Jobseekers allowance applications","Number","504"
"Persons on Live Register","1967M02","All ages","Female","Jobseekers benefit claims","Number","7247"
"Persons on Live Register","1967M02","All ages","Female","Other registrants","Number","2282"
"Persons on Live Register","1967M03","Under 25 years","Both sexes","All classes","Number","0"
"Persons on Live Register","1967M03","Under 25 years","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M03","Under 25 years","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M03","Under 25 years","Both sexes","Other registrants","Number",""
"Persons on Live Register","1967M03","Under 25 years","Male","All classes","Number","0"
"Persons on Live Register","1967M03","Under 25 years","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M03","Under 25 years","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M03","Under 25 years","Male","Other registrants","Number",""
"Persons on Live Register","1967M03","Under 25 years","Female","All classes","Number","0"
"Persons on Live Register","1967M03","Under 25 years","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M03","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M03","Under 25 years","Female","Other registrants","Number",""
"Persons on Live Register","1967M03","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1967M03","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M03","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M03","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1967M03","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1967M03","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M03","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M03","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1967M03","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1967M03","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M03","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M03","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1967M03","All ages","Both sexes","All classes","Number","56880"
"Persons on Live Register","1967M03","All ages","Both sexes","Jobseekers allowance applications","Number","19263"
"Persons on Live Register","1967M03","All ages","Both sexes","Jobseekers benefit claims","Number","34171"
"Persons on Live Register","1967M03","All ages","Both sexes","Other registrants","Number","3446"
"Persons on Live Register","1967M03","All ages","Male","All classes","Number","46397"
"Persons on Live Register","1967M03","All ages","Male","Jobseekers allowance applications","Number","18747"
"Persons on Live Register","1967M03","All ages","Male","Jobseekers benefit claims","Number","26543"
"Persons on Live Register","1967M03","All ages","Male","Other registrants","Number","1107"
"Persons on Live Register","1967M03","All ages","Female","All classes","Number","10483"
"Persons on Live Register","1967M03","All ages","Female","Jobseekers allowance applications","Number","516"
"Persons on Live Register","1967M03","All ages","Female","Jobseekers benefit claims","Number","7628"
"Persons on Live Register","1967M03","All ages","Female","Other registrants","Number","2339"
"Persons on Live Register","1967M04","Under 25 years","Both sexes","All classes","Number","0"
"Persons on Live Register","1967M04","Under 25 years","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M04","Under 25 years","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M04","Under 25 years","Both sexes","Other registrants","Number",""
"Persons on Live Register","1967M04","Under 25 years","Male","All classes","Number","0"
"Persons on Live Register","1967M04","Under 25 years","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M04","Under 25 years","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M04","Under 25 years","Male","Other registrants","Number",""
"Persons on Live Register","1967M04","Under 25 years","Female","All classes","Number","0"
"Persons on Live Register","1967M04","Under 25 years","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M04","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M04","Under 25 years","Female","Other registrants","Number",""
"Persons on Live Register","1967M04","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1967M04","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M04","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M04","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1967M04","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1967M04","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M04","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M04","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1967M04","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1967M04","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M04","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M04","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1967M04","All ages","Both sexes","All classes","Number","51373"
"Persons on Live Register","1967M04","All ages","Both sexes","Jobseekers allowance applications","Number","19486"
"Persons on Live Register","1967M04","All ages","Both sexes","Jobseekers benefit claims","Number","28185"
"Persons on Live Register","1967M04","All ages","Both sexes","Other registrants","Number","3702"
"Persons on Live Register","1967M04","All ages","Male","All classes","Number","41912"
"Persons on Live Register","1967M04","All ages","Male","Jobseekers allowance applications","Number","18958"
"Persons on Live Register","1967M04","All ages","Male","Jobseekers benefit claims","Number","21813"
"Persons on Live Register","1967M04","All ages","Male","Other registrants","Number","1141"
"Persons on Live Register","1967M04","All ages","Female","All classes","Number","9461"
"Persons on Live Register","1967M04","All ages","Female","Jobseekers allowance applications","Number","528"
"Persons on Live Register","1967M04","All ages","Female","Jobseekers benefit claims","Number","6372"
"Persons on Live Register","1967M04","All ages","Female","Other registrants","Number","2561"
"Persons on Live Register","1967M05","Under 25 years","Both sexes","All classes","Number","0"
"Persons on Live Register","1967M05","Under 25 years","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M05","Under 25 years","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M05","Under 25 years","Both sexes","Other registrants","Number",""
"Persons on Live Register","1967M05","Under 25 years","Male","All classes","Number","0"
"Persons on Live Register","1967M05","Under 25 years","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M05","Under 25 years","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M05","Under 25 years","Male","Other registrants","Number",""
"Persons on Live Register","1967M05","Under 25 years","Female","All classes","Number","0"
"Persons on Live Register","1967M05","Under 25 years","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M05","Under 25 years","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M05","Under 25 years","Female","Other registrants","Number",""
"Persons on Live Register","1967M05","25 years and over","Both sexes","All classes","Number","0"
"Persons on Live Register","1967M05","25 years and over","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M05","25 years and over","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M05","25 years and over","Both sexes","Other registrants","Number",""
"Persons on Live Register","1967M05","25 years and over","Male","All classes","Number","0"
"Persons on Live Register","1967M05","25 years and over","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M05","25 years and over","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M05","25 years and over","Male","Other registrants","Number",""
"Persons on Live Register","1967M05","25 years and over","Female","All classes","Number","0"
"Persons on Live Register","1967M05","25 years and over","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M05","25 years and over","Female","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M05","25 years and over","Female","Other registrants","Number",""
"Persons on Live Register","1967M05","All ages","Both sexes","All classes","Number","47739"
"Persons on Live Register","1967M05","All ages","Both sexes","Jobseekers allowance applications","Number","19690"
"Persons on Live Register","1967M05","All ages","Both sexes","Jobseekers benefit claims","Number","24464"
"Persons on Live Register","1967M05","All ages","Both sexes","Other registrants","Number","3585"
"Persons on Live Register","1967M05","All ages","Male","All classes","Number","39211"
"Persons on Live Register","1967M05","All ages","Male","Jobseekers allowance applications","Number","19184"
"Persons on Live Register","1967M05","All ages","Male","Jobseekers benefit claims","Number","18810"
"Persons on Live Register","1967M05","All ages","Male","Other registrants","Number","1217"
"Persons on Live Register","1967M05","All ages","Female","All classes","Number","8528"
"Persons on Live Register","1967M05","All ages","Female","Jobseekers allowance applications","Number","506"
"Persons on Live Register","1967M05","All ages","Female","Jobseekers benefit claims","Number","5654"
"Persons on Live Register","1967M05","All ages","Female","Other registrants","Number","2368"
"Persons on Live Register","1967M06","Under 25 years","Both sexes","All classes","Number","0"
"Persons on Live Register","1967M06","Under 25 years","Both sexes","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M06","Under 25 years","Both sexes","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M06","Under 25 years","Both sexes","Other registrants","Number",""
"Persons on Live Register","1967M06","Under 25 years","Male","All classes","Number","0"
"Persons on Live Register","1967M06","Under 25 years","Male","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M06","Under 25 years","Male","Jobseekers benefit claims","Number",""
"Persons on Live Register","1967M06","Under 25 years","Male","Other registrants","Number",""
"Persons on Live Register","1967M06","Under 25 years","Female","All classes","Number","0"
"Persons on Live Register","1967M06","Under 25 years","Female","Jobseekers allowance applications","Number",""
"Persons on Live Register","1967M06","Under 25 years","Female","Jobseekers benefit claims","Number",""
