"Statistic","Month","State","UNIT","VALUE"
"Seasonally Adjusted Standardised Unemployment Rate","1983M01","State","%","13"
"Seasonally Adjusted Standardised Unemployment Rate","1983M02","State","%","13.2"
"Seasonally Adjusted Standardised Unemployment Rate","1983M03","State","%","13.5"
"Seasonally Adjusted Standardised Unemployment Rate","1983M04","State","%","13.6"
"Seasonally Adjusted Standardised Unemployment Rate","1983M05","State","%","13.9"
"Seasonally Adjusted Standardised Unemployment Rate","1983M06","State","%","14"
"Seasonally Adjusted Standardised Unemployment Rate","1983M07","State","%","14.1"
"Seasonally Adjusted Standardised Unemployment Rate","1983M08","State","%","14.2"
"Seasonally Adjusted Standardised Unemployment Rate","1983M09","State","%","14.4"
"Seasonally Adjusted Standardised Unemployment Rate","1983M10","State","%","14.6"
"Seasonally Adjusted Standardised Unemployment Rate","1983M11","State","%","14.7"
"Seasonally Adjusted Standardised Unemployment Rate","1983M12","State","%","14.8"
"Seasonally Adjusted Standardised Unemployment Rate","1984M01","State","%","15"
"Seasonally Adjusted Standardised Unemployment Rate","1984M02","State","%","15.2"
"Seasonally Adjusted Standardised Unemployment Rate","1984M03","State","%","15.2"
"Seasonally Adjusted Standardised Unemployment Rate","1984M04","State","%","15.4"
"Seasonally Adjusted Standardised Unemployment Rate","1984M05","State","%","15.3"
"Seasonally Adjusted Standardised Unemployment Rate","1984M06","State","%","15.5"
"Seasonally Adjusted Standardised Unemployment Rate","1984M07","State","%","15.5"
"Seasonally Adjusted Standardised Unemployment Rate","1984M08","State","%","15.6"
"Seasonally Adjusted Standardised Unemployment Rate","1984M09","State","%","15.8"
"Seasonally Adjusted Standardised Unemployment Rate","1984M10","State","%","15.9"
"Seasonally Adjusted Standardised Unemployment Rate","1984M11","State","%","16.1"
"Seasonally Adjusted Standardised Unemployment Rate","1984M12","State","%","16.1"
"Seasonally Adjusted Standardised Unemployment Rate","1985M01","State","%","16.5"
"Seasonally Adjusted Standardised Unemployment Rate","1985M02","State","%","16.7"
"Seasonally Adjusted Standardised Unemployment Rate","1985M03","State","%","16.6"
"Seasonally Adjusted Standardised Unemployment Rate","1985M04","State","%","16.7"
"Seasonally Adjusted Standardised Unemployment Rate","1985M05","State","%","16.7"
"Seasonally Adjusted Standardised Unemployment Rate","1985M06","State","%","16.9"
"Seasonally Adjusted Standardised Unemployment Rate","1985M07","State","%","17"
"Seasonally Adjusted Standardised Unemployment Rate","1985M08","State","%","17.2"
"Seasonally Adjusted Standardised Unemployment Rate","1985M09","State","%","17.2"
"Seasonally Adjusted Standardised Unemployment Rate","1985M10","State","%","17"
"Seasonally Adjusted Standardised Unemployment Rate","1985M11","State","%","17.1"
"Seasonally Adjusted Standardised Unemployment Rate","1985M12","State","%","17.3"
"Seasonally Adjusted Standardised Unemployment Rate","1986M01","State","%","17"
"Seasonally Adjusted Standardised Unemployment Rate","1986M02","State","%","17.1"
"Seasonally Adjusted Standardised Unemployment Rate","1986M03","State","%","17.2"
"Seasonally Adjusted Standardised Unemployment Rate","1986M04","State","%","17.1"
"Seasonally Adjusted Standardised Unemployment Rate","1986M05","State","%","17.1"
"Seasonally Adjusted Standardised Unemployment Rate","1986M06","State","%","17.1"
"Seasonally Adjusted Standardised Unemployment Rate","1986M07","State","%","17"
"Seasonally Adjusted Standardised Unemployment Rate","1986M08","State","%","17"
"Seasonally Adjusted Standardised Unemployment Rate","1986M09","State","%","16.9"
"Seasonally Adjusted Standardised Unemployment Rate","1986M10","State","%","16.9"
"Seasonally Adjusted Standardised Unemployment Rate","1986M11","State","%","16.9"
"Seasonally Adjusted Standardised Unemployment Rate","1986M12","State","%","17"
"Seasonally Adjusted Standardised Unemployment Rate","1987M01","State","%","17"
"Seasonally Adjusted Standardised Unemployment Rate","1987M02","State","%","16.9"
"Seasonally Adjusted Standardised Unemployment Rate","1987M03","State","%","16.7"
"Seasonally Adjusted Standardised Unemployment Rate","1987M04","State","%","16.9"
"Seasonally Adjusted Standardised Unemployment Rate","1987M05","State","%","16.9"
"Seasonally Adjusted Standardised Unemployment Rate","1987M06","State","%","16.8"
"Seasonally Adjusted Standardised Unemployment Rate","1987M07","State","%","16.8"
"Seasonally Adjusted Standardised Unemployment Rate","1987M08","State","%","16.7"
"Seasonally Adjusted Standardised Unemployment Rate","1987M09","State","%","16.6"
"Seasonally Adjusted Standardised Unemployment Rate","1987M10","State","%","16.5"
"Seasonally Adjusted Standardised Unemployment Rate","1987M11","State","%","16.6"
